Number,City
1,Montgomery
2,Levittown
3,Embden Lake
4,New York
5,Tucker
6,Baltimore
7,Nashville
8,Cypress Gardens
9,New York
10,Pomona
11,Piscataway
12,Eugene
13,Corpus Christi
14,Waipahu
15,Hagerstown
16,Bunnell
17,Hickory Hills
18,Altamonte Springs
19,Englewood
20,Whitestone
21,Terre Haute
22,Columbia
23,Louisville
24,Visalia
25,Dallas
26,Orlando
27,White Plains
28,Benton
29,Rochester
30,Atlanta
31,Brookline
32,Ridley Park
33,Waltham
34,Burr Ridge
35,Jersey City
36,Saint Louis
37,Huntsville
38,Brockport
39,Andalusia
40,Wyoming
41,Manchester
42,Plant City
43,Baltimore
44,Atlanta
45,Zeeland
46,Hagerstown
47,Oak Lawn
48,Anchorage
49,Englewood
50,Greenville
51,Baltimore
52,Parsons
53,Media
54,Manheim
55,Denton
56,Faribault
57,Richmond
58,Dallas
59,Irvine
60,Edinburg
61,Willoughby
62,Union
63,Charlotte
64,Tonawanda
65,Kansas City
66,Dallas
67,Santa Clara
68,Garfield Heights
69,New Berlin
70,Whiteville
71,Winchester
72,Lansing
73,Chena Hot Springs
74,Greensboro
75,Gainesville
76,Sacramento
77,Baltimore
78,Washington
79,Casper
80,Bowling Green
81,Worthington
82,Fanshawe
83,Hamilton
84,Milwaukee
85,Mankato
86,Raleigh
87,Los Angeles
88,Coahoma
89,Portage
90,Milwaukee
91,Houston
92,Nutley
93,Hanover
94,Miami
95,Eagan
96,Burbank
97,Vilonia
98,Phoenix
99,Waukegan
100,Beaumont
101,Cincinnati
102,Champaign
103,Folsom
104,Hammond
105,Wenatchee
106,Lomax
107,Avoca
108,Atlanta
109,Houston
110,Buena Park
111,Beaumont
112,Broomfield
113,Preston
114,Bloomsburg
115,Foosland
116,Fort Myers
117,Atlanta
118,Cincinnati
119,Boston
120,Norcross
121,Bucyrus
122,Clinton (Hunterdon)
123,San Francisco
124,El Monte
125,Memphis
126,Hinsdale
127,Dallas
128,Chicago
129,Viborg
130,Mc Kinney
131,Syracuse
132,Mount Juliet
133,Kearney
134,Indianapolis
135,Lafayette
136,Port Clinton
137,Colorado Springs
138,Boston
139,Sacramento
140,Baden
141,Fort Worth
142,Fargo
143,New York
144,Greenville
145,Ashland
146,New Orleans
147,Syracuse
148,Marietta
149,Raleigh
150,Clinton
151,Cheshire
152,Austin
153,Lincoln
154,Grand Rapids
155,Providence
156,Las Vegas
157,Charlotte
158,Peoria
159,San Antonio
160,East Saint Louis
161,Bloomington
162,Saint Cloud
163,Burlington
164,Philadelphia
165,Bedford
166,Brentwood
167,East Providence
168,Mound City
169,Tuttle
170,Southfield
171,Hicksville
172,Jasper
173,Penns Grove
174,Winchester
175,Rochester
176,Aurora
177,Minneapolis
178,Boston
179,Oakland
180,Bloomington
181,Houston
182,Jacksonville
183,San Jose
184,Saginaw
185,Miami
186,Denver
187,Metairie
188,Winter Park
189,Woodstock
190,Warrensville Heights
191,Duluth
192,Silver Spring
193,Nowata
194,Austin
195,Hollywood
196,Denver
197,Scranton
198,Atlantic City
199,Macomb
200,Mcclellan
201,Ashton
202,Cambridge
203,Reno
204,Santa Barbara
205,New York
206,Cincinnati
207,Buffalo
208,Seattle
209,Southfield
210,Shelburne
211,Fort Loramie
212,Houston
213,Hollywood
214,Munford
215,Miami
216,New London
217,Indianapolis
218,Mira Loma
219,Alvin
220,Lanham
221,New York
222,Snohomish
223,Lomita
224,Kent
225,Brentwood
226,Clatonia
227,Dallas
228,Atlanta
229,West Palm Beach
230,Montezuma Creek
231,Houston
232,Rapid City
233,Nashua
234,Iola
235,Tampa
236,Buffalo
237,Oakland
238,Portland
239,Atlanta
240,Winchester
241,Ellensburg
242,San Diego
243,Syracuse
244,Las Vegas
245,Jefferson City
246,Pottsville
247,Caro
248,Maplewood
249,Columbus
250,West Palm Beach
251,Wallingford
252,Louisville
253,Lexington
254,Salt Lake City
255,Mountain View
256,Houston
257,Saint Clairsville
258,Loves Park
259,Paramount
260,West St Paul
261,South Bend
262,Pittsburgh
263,Rehoboth
264,Corpus Christi
265,Fort Jones
266,North Las Vegas
267,Richmond
268,Las Vegas
269,Springfield
270,Palm Springs
271,Orlando
272,Pomona
273,Gridley
274,Hartford
275,Marquette
276,New York
277,Santa Clara
278,Seattle
279,Bastrop
280,Plano
281,Memphis
282,Dallas
283,Detroit
284,Plant City
285,Southfield
286,Spartanburg
287,Concord
288,Lincoln
289,Philadelphia
290,Los Angeles
291,Decatur
292,Richmond
293,Fort Wayne
294,Metairie
295,Springfield
296,San Jose
297,Santa Fe Springs
298,Fredericksburg
299,Greenville
300,Burlington
301,Cherry Valley
302,Portland
303,Fallsburge
304,Coyville
305,Garden City
306,Chicago
307,Marietta
308,Portland
309,Fairfield
310,New York
311,Rockford
312,Jenkintown
313,Northbrook
314,Morton Grove
315,Knoxville
316,Hinton
317,Houston
318,New Lenox
319,Osseo
320,Houston
321,Macon
322,Providence
323,Bryant
324,Rush City
325,New Orleans
326,Germantown
327,Danville
328,Greensboro
329,Philadelphia
330,Miami
331,Chillicothe
332,Madison
333,La Crosse
334,Seymour
335,Newport
336,Weehawken
337,Anaheim
338,Queens
339,Tucson
340,Holly Grove
341,Siesta Key
342,Saint Louis
343,Fort Deposit
344,Draper
345,Salisbury
346,Milwaukee
347,Harlingen
348,Ganado
349,Newark
350,Roanoke
351,Aromas
352,Las Vegas
353,Rosemead
354,Los Angeles
355,Phoenix
356,Tacoma
357,Salt Lake City
358,Charleston
359,Greensboro
360,Irvine
361,Arlington
362,Long Beach
363,Coeur D Alene
364,Bloomington
365,El Paso
366,White River Junction
367,Fair Oaks
368,Houston
369,New York
370,Florence
371,Houston
372,Austin
373,Littleton
374,San Francisco
375,Whitestone
376,New Orleans
377,Westerville
378,Columbus
379,Forked River
380,Irvine
381,Gruver
382,Sierra Vista
383,Milwaukee
384,Boston
385,Indianapolis
386,Taylorville
387,Pittsburgh
388,San Jose
389,Grand Rapids
390,Indianapolis
391,Orlando
392,Anchorage
393,Tyler
394,Cadillac
395,New York
396,Saint Cloud
397,Bellerose
398,Charleston
399,Springfield
400,Harvey
401,Las Cruces
402,Salt Lake City
403,Louisville
404,Brooklyn
405,Appleton
406,Indianapolis
407,La Belle
408,Columbia
409,Manchester
410,Concord
411,Saint Paul
412,Unionville
413,Dallas
414,Houston
415,Carlsbad
416,Parsons
417,Summerville
418,Hope
419,Newark
420,Miami
421,Avon Park
422,Fort Walton Beach
423,Strongsville
424,Portland
425,Southfield
426,Wallingford
427,Wallingford
428,Los Angeles
429,Syracuse
430,Springfield
431,Portland
432,Lovington
433,El Toro
434,Parkville
435,Hartford
436,New York
437,Reily
438,Houston
439,Milwaukie
440,New York
441,Dallas
442,Albany
443,Washington
444,Wise
445,North Little Rock
446,Metairie
447,Chicago
448,Metairie
449,Francesville
450,Qulin
451,Nashville
452,Maryville
453,Dayton
454,Beech Creek
455,Indianapolis
456,Avondale
457,Yaphank
458,La Grange
459,Stafford
460,Livonia
461,Naples
462,Gary
463,Charlottesville
464,Columbus
465,Livonia
466,Madisonville
467,Mccamey
468,Philadelphia
469,San Diego
470,Syracuse
471,Plano
472,San Antonio
473,Jacksonville
474,Jackson
475,Eagleville
476,Kansas City
477,Ann Arbor
478,Saint Cloud
479,Norristown
480,Evansville
481,Irvine
482,Fort Lauderdale
483,Sugar Land
484,Lyme
485,Fargo
486,La Honda
487,Hovland
488,Manhattan
489,High Point
490,Memphis
491,Pamplico
492,Seattle
493,Schaumburg
494,Plymouth Meeting
495,Hagerstown
496,Seattle
497,Biloxi
498,Columbia
499,Tulsa
500,Menomonie
501,Stlouis
502,Dallas
503,Topeka
504,Florence
505,Litchfield
506,Tacoma
507,New York
508,New York
509,Rancho Dominguez
510,San Francisco
511,Arlington
512,Irvine
513,Renton
514,Peoria
515,Golden Valley
516,Dallas
517,Longmont
518,Springfield
519,Jacksonville
520,Anchorage
521,Bettendorf
522,Asheville
523,Martin
524,Syracuse
525,Redwood City
526,Minneapolis
527,Manhattan
528,El Paso
529,Fort Wayne
530,Ithaca
531,Menasha
532,Lafayette
533,San Francisco
534,Orange
535,Newell
536,Clinton
537,Huntington
538,Longview
539,Williamsport
540,Charleston
541,Eagleville
542,West Palm Beach
543,Salinas
544,Wilmington
545,Houston
546,Pearson
547,Bensalem
548,Minneapolis
549,Denver
550,Broadus
551,Roseville
552,Eureka Springs
553,Denver
554,Manchester
555,Tifton
556,Lynchburg
557,Houston
558,Lake Katrine
559,Sterling
560,Medford
561,Vernon Hills
562,Granbury
563,Hickory Hills
564,Lawrence
565,Lostine
566,Camden
567,Decatur
568,Aurora
569,Cleveland
570,Fredericksburg
571,Chattanooga
572,Atlanta
573,Philadelphia
574,Hamilton
575,Oakland
576,Sacramento
577,Saginaw
578,Washington
579,Stratford
580,Waynesboro
581,Alzada
582,New Berlin
583,Poughkeepsie
584,Detroit
585,Towson
586,Brisbane
587,Burr Ridge
588,Wapakoneta
589,Jacksonville
590,Denver
591,Stuart
592,Los Angeles
593,New Castle
594,Oxnard
595,Reston
596,Blytheville
597,Jacksonville
598,Dothan
599,Florence
600,Newark
601,Steele
602,Eau Claire
603,Caney
604,Katy
605,Los Angeles
606,Middlebury
607,Bay City
608,Sacramento
609,Macon
610,Opdyke
611,New York
612,Shelton
613,Johnstown
614,Seattle
615,Lytton Springs
616,Washington
617,Lakewood
618,Beltsville
619,Philadelphia
620,Minneapolis
621,Atlanta
622,New Concord
623,Pulaski
624,Jewell
625,San Rafael
626,North Miami
627,Red Bank
628,Topeka
629,Mishawaka
630,Como
631,Alton
632,Fresno
633,Baltimore
634,Port Angeles
635,Corpus Christi
636,Santa Monica
637,Kansas City
638,Atlanta
639,Jamesport
640,South Burlington
641,Philadelphia
642,Wenatchee
643,Piscataway
644,Chicago
645,Corpus Christi
646,Lexington
647,Portland
648,San Antonio
649,Brevard
650,Westbury
651,Denver
652,Oakland
653,Kingfisher
654,Newark
655,Detroit
656,Phoenix
657,Richardson
658,Boston
659,Damascus
660,Harquahala Valley
661,New Orleans
662,Jersey City
663,Bedford
664,New Bern
665,Santa Clara
666,Cambridge
667,Edinburg
668,Shreveport
669,Lewisberry
670,Deerpark
671,Astor
672,Los Angeles
673,Riverside
674,St Clair
675,Westfield
676,Riverside
677,Charlottesville
678,Houston
679,Wheeling
680,Pottsville
681,Acton
682,Memphis
683,Baltimore
684,Des Moines
685,Chattanooga
686,Nokomis
687,Southfield
688,Columbus
689,Plano
690,Green Bay
691,Los Angeles
692,Collinsville
693,Fargo
694,San Antonio
695,Star
696,Ridgewood
697,Baltimore
698,Fresno
699,New York
700,Wayne
701,Marlboro
702,Olympia
703,Phoenix
704,Brooklyn
705,Spokane
706,Flushing
707,Chesapeake
708,Fort Lauderdale
709,Omaha
710,Kansas City
711,Winter Haven
712,Birmingham
713,Dayton
714,New Orleans
715,Piedmont
716,West Allis
717,New York
718,Syracuse
719,Grand Rapids
720,La Grange
721,Plano
722,Baltic
723,Collierville
724,Huntington
725,Alexandria
726,Morristown
727,Fayetteville
728,Detroit
729,Houston
730,Dayton
731,Salinas
732,Altoona
733,Washington
734,Russell
735,Portland
736,Houston
737,Carrollton
738,Abilene
739,Youngstown
740,Skokie
741,Tucson
742,Salina
743,Laurel Springs
744,Plymouth
745,Forrest City
746,Louisville
747,Sunnyvale
748,Philadelphia
749,Detroit
750,Layton
751,Roulette
752,Charleston
753,Arlington
754,Maryland Heights
755,Peebles
756,Lexington
757,Houston
758,Marquette
759,San Antonio
760,Plant City
761,Sunnyvale
762,Rockford
763,Vermillion
764,Renville
765,Rock Island
766,New York
767,Tucson
768,Beatrice
769,Braintree
770,Chicago
771,Charlotte
772,Rocky Mount
773,Saint Cloud
774,Clanton
775,Appleton
776,Las Vegas
777,Camden
778,Pittston
779,New York
780,Los Angeles
781,Newark
782,Sheboygan
783,Pendergrass
784,Buffalo
785,Phoenix
786,Nashville
787,Forbes
788,Badin Lake
789,Minneapolis
790,Aurora
791,Little Rock
792,Heflin
793,Seattle
794,New York
795,Fergus Falls
796,Maitland
797,Mission
798,Jim Falls
799,Providence Forge
800,Valley Park
801,Grand Prairie
802,Los Angeles
803,Irving
804,Stockton
805,Binghamton
806,Knoxville
807,Jacksonville
808,Bothell
809,Chicago
810,Lafayette
811,Redwood City
812,Solomon
813,Rochester
814,Beaumont
815,Westford
816,Dallas
817,Newark
818,Fort Washington
819,Niagara Falls
820,Avon Park
821,Knoxville
822,Colorado Springs
823,Grace
824,Fargo
825,Saint Paul
826,San Bruno
827,Los Angeles
828,Newark
829,Sacramento
830,Newton
831,Seattle
832,Boise
833,Atlanta
834,Portland
835,Madisonville
836,Colorado Springs
837,Zachary
838,Utica
839,Madison
840,San Diego
841,Roxbury
842,Rancho Cordova
843,Cayce
844,Mountain View
845,New York
846,Philadelphia
847,Boston
848,Maumee
849,Tampa
850,Locust
851,Rolling Fork
852,Titusville
853,Jim Hogg
854,Daly City
855,Sterling
856,Southfield
857,Tampa
858,Peculiar
859,Leavenworth
860,Hemet
861,Saint Louis
862,Madison
863,Madison
864,Potomac
865,Evansville
866,Allen
867,Hartford
868,Shonto
869,San Diego
870,Miami
871,Goleta
872,Blountsville
873,Fairhope
874,San Diego
875,Streator
876,Long Pine
877,Wallingford
878,Seattle
879,Birmingham
880,Santa Ana
881,Paoli
882,New Orleans
883,Exeter
884,Jackson
885,Gulfport
886,Richmond
887,Walton
888,Philadelphia
889,Frederick
890,Memphis
891,Roanoke
892,Dallas
893,Pittsburgh
894,Iowa City
895,Springfield
896,Los Banos
897,Los Angeles
898,Cincinnati
899,Cisco
900,Asbury Park
901,Greenwood
902,Grand Rapids
903,Chehalis
904,Syracuse
905,Davenport
906,Ellsworth
907,Centreville
908,Wattsburg
909,Seattle
910,Atlantic City
911,Los Angeles
912,Plymouth
913,Nashville
914,Willmar
915,Pleasantville
916,New Underwood
917,Purvis
918,New York
919,Beverly
920,Waldorf
921,Grand Rapids
922,Mapleton
923,Tukwila
924,Lavaca
925,La Veta
926,East Aurora
927,Boise
928,Dahlonega
929,New City
930,Stillwater
931,Portland
932,Columbus
933,Chatom
934,Walnut Grove
935,Kokomo
936,Wood Dale
937,Stlouis
938,North Sioux City
939,West Palm Beach
940,Little Rock
941,Marion
942,Pittsfield
943,Stockton
944,Davenport
945,Forest Home
946,Grantsville
947,New Haven
948,San Jose
949,Salem
950,Oakland
951,Knoxville
952,West Haverstraw
953,Watsonville
954,Beaufort
955,Casper
956,Huntington
957,Lewistown
958,Akron
959,Philadelphia
960,Brentwood
961,Prairieburg
962,Cheektowaga
963,El Sobrante
964,Flint
965,Warrensville Heights
966,Mount Pleasant
967,Dallas
968,Lansing
969,New York
970,North Greenbush
971,Southfield
972,Huntington
973,Dallas
974,Green Bay
975,Derby
976,Las Vegas
977,Oak Ridge
978,Lake Villa
979,Jackson
980,Houston
981,Reidsville
982,Hickory Hills
983,North Manning
984,Pittsburgh
985,Mountain View
986,Columbus
987,Fresno
988,Springfield
989,Skaneateles
990,Oklahoma City
991,Hawthorne
992,Farmingdale
993,Dayton
994,Austin
995,New York
996,Nashville
997,Dallas
998,Rehoboth
999,Midland
1000,Huntsville
