UserID,CuisineID
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,0
93,1
94,2
95,3
96,4
97,5
98,6
99,7
100,8
101,9
102,10
103,11
104,12
105,13
106,14
107,15
108,16
109,17
110,18
111,19
112,20
113,21
114,22
115,23
116,24
117,25
118,26
119,27
120,28
121,29
122,30
123,31
124,32
125,33
126,34
127,35
128,36
129,37
130,38
131,39
132,40
133,41
134,42
135,43
136,44
137,45
138,46
139,47
140,48
141,49
142,50
143,51
144,52
145,53
146,54
147,55
148,56
149,57
150,58
151,59
152,60
153,61
154,62
155,63
156,64
157,65
158,66
159,67
160,68
161,69
162,70
163,71
164,72
165,73
166,74
167,75
168,76
169,77
170,78
171,79
172,80
173,81
174,82
175,83
176,84
177,85
178,86
179,87
180,88
181,89
182,90
183,91
184,0
185,1
186,2
187,3
188,4
189,5
190,6
191,7
192,8
193,9
194,10
195,11
196,12
197,13
198,14
199,15
200,16
201,17
202,18
203,19
204,20
205,21
206,22
207,23
208,24
209,25
210,26
211,27
212,28
213,29
214,30
215,31
216,32
217,33
218,34
219,35
220,36
221,37
222,38
223,39
224,40
225,41
226,42
227,43
228,44
229,45
230,46
231,47
232,48
233,49
234,50
235,51
236,52
237,53
238,54
239,55
240,56
241,57
242,58
243,59
244,60
245,61
246,62
247,63
248,64
249,65
250,66
251,67
252,68
253,69
254,70
255,71
256,72
257,73
258,74
259,75
260,76
261,77
262,78
263,79
264,80
265,81
266,82
267,83
268,84
269,85
270,86
271,87
272,88
273,89
274,90
275,91
276,0
277,1
278,2
279,3
280,4
281,5
282,6
283,7
284,8
285,9
286,10
287,11
288,12
289,13
290,14
291,15
292,16
293,17
294,18
295,19
296,20
297,21
298,22
299,23
300,24
301,25
302,26
303,27
304,28
305,29
306,30
307,31
308,32
309,33
310,34
311,35
312,36
313,37
314,38
315,39
316,40
317,41
318,42
319,43
320,44
321,45
322,46
323,47
324,48
325,49
326,50
327,51
328,52
329,53
330,54
331,55
332,56
333,57
334,58
335,59
336,60
337,61
338,62
339,63
340,64
341,65
342,66
343,67
344,68
345,69
346,70
347,71
348,72
349,73
350,74
351,75
352,76
353,77
354,78
355,79
356,80
357,81
358,82
359,83
360,84
361,85
362,86
363,87
364,88
365,89
366,90
367,91
368,0
369,1
370,2
371,3
372,4
373,5
374,6
375,7
376,8
377,9
378,10
379,11
380,12
381,13
382,14
383,15
384,16
385,17
386,18
387,19
388,20
389,21
390,22
391,23
392,24
393,25
394,26
395,27
396,28
397,29
398,30
399,31
400,32
401,33
402,34
403,35
404,36
405,37
406,38
407,39
408,40
409,41
410,42
411,43
412,44
413,45
414,46
415,47
416,48
417,49
418,50
419,51
420,52
421,53
422,54
423,55
424,56
425,57
426,58
427,59
428,60
429,61
430,62
431,63
432,64
433,65
434,66
435,67
436,68
437,69
438,70
439,71
440,72
441,73
442,74
443,75
444,76
445,77
446,78
447,79
448,80
449,81
450,82
451,83
452,84
453,85
454,86
455,87
456,88
457,89
458,90
459,91
460,0
461,1
462,2
463,3
464,4
465,5
466,6
467,7
468,8
469,9
470,10
471,11
472,12
473,13
474,14
475,15
476,16
477,17
478,18
479,19
480,20
481,21
482,22
483,23
484,24
485,25
486,26
487,27
488,28
489,29
490,30
491,31
492,32
493,33
494,34
495,35
496,36
497,37
498,38
499,39
500,40
501,41
502,42
503,43
504,44
505,45
506,46
507,47
508,48
509,49
510,50
511,51
512,52
513,53
514,54
515,55
516,56
517,57
518,58
519,59
520,60
521,61
522,62
523,63
524,64
525,65
526,66
527,67
528,68
529,69
530,70
531,71
532,72
533,73
534,74
535,75
536,76
537,77
538,78
539,79
540,80
541,81
542,82
543,83
544,84
545,85
546,86
547,87
548,88
549,89
550,90
551,91
552,0
553,1
554,2
555,3
556,4
557,5
558,6
559,7
560,8
561,9
562,10
563,11
564,12
565,13
566,14
567,15
568,16
569,17
570,18
571,19
572,20
573,21
574,22
575,23
576,24
577,25
578,26
579,27
580,28
581,29
582,30
583,31
584,32
585,33
586,34
587,35
588,36
589,37
590,38
591,39
592,40
593,41
594,42
595,43
596,44
597,45
598,46
599,47
600,48
601,49
602,50
603,51
604,52
605,53
606,54
607,55
608,56
609,57
610,58
611,59
612,60
613,61
614,62
615,63
616,64
617,65
618,66
619,67
620,68
621,69
622,70
623,71
624,72
625,73
626,74
627,75
628,76
629,77
630,78
631,79
632,80
633,81
634,82
635,83
636,84
637,85
638,86
639,87
640,88
641,89
642,90
643,91
644,0
645,1
646,2
647,3
648,4
649,5
650,6
651,7
652,8
653,9
654,10
655,11
656,12
657,13
658,14
659,15
660,16
661,17
662,18
663,19
664,20
665,21
666,22
667,23
668,24
669,25
670,26
671,27
672,28
673,29
674,30
675,31
676,32
677,33
678,34
679,35
680,36
681,37
682,38
683,39
684,40
685,41
686,42
687,43
688,44
689,45
690,46
691,47
692,48
693,49
694,50
695,51
696,52
697,53
698,54
699,55
700,56
701,57
702,58
703,59
704,60
705,61
706,62
707,63
708,64
709,65
710,66
711,67
712,68
713,69
714,70
715,71
716,72
717,73
718,74
719,75
720,76
721,77
722,78
723,79
724,80
725,81
726,82
727,83
728,84
729,85
730,86
731,87
732,88
733,89
734,90
735,91
736,0
737,1
738,2
739,3
740,4
741,5
742,6
743,7
744,8
745,9
746,10
747,11
748,12
749,13
750,14
751,15
752,16
753,17
754,18
755,19
756,20
757,21
758,22
759,23
760,24
761,25
762,26
763,27
764,28
765,29
766,30
767,31
768,32
769,33
770,34
771,35
772,36
773,37
774,38
775,39
776,40
777,41
778,42
779,43
780,44
781,45
782,46
783,47
784,48
785,49
786,50
787,51
788,52
789,53
790,54
791,55
792,56
793,57
794,58
795,59
796,60
797,61
798,62
799,63
800,64
801,65
802,66
803,67
804,68
805,69
806,70
807,71
808,72
809,73
810,74
811,75
812,76
813,77
814,78
815,79
816,80
817,81
818,82
819,83
820,84
821,85
822,86
823,87
824,88
825,89
826,90
827,91
828,0
829,1
830,2
831,3
832,4
833,5
834,6
835,7
836,8
837,9
838,10
839,11
840,12
841,13
842,14
843,15
844,16
845,17
846,18
847,19
848,20
849,21
850,22
851,23
852,24
853,25
854,26
855,27
856,28
857,29
858,30
859,31
860,32
861,33
862,34
863,35
864,36
865,37
866,38
867,39
868,40
869,41
870,42
871,43
872,44
873,45
874,46
875,47
876,48
877,49
878,50
879,51
880,52
881,53
882,54
883,55
884,56
885,57
886,58
887,59
888,60
889,61
890,62
891,63
892,64
893,65
894,66
895,67
896,68
897,69
898,70
899,71
900,72
901,73
902,74
903,75
904,76
905,77
906,78
907,79
908,80
909,81
910,82
911,83
912,84
913,85
914,86
915,87
916,88
917,89
918,90
919,91
920,0
921,1
922,2
923,3
924,4
925,5
926,6
927,7
928,8
929,9
930,10
931,11
932,12
933,13
934,14
935,15
936,16
937,17
938,18
939,19
940,20
941,21
942,22
943,23
944,24
945,25
946,26
947,27
948,28
949,29
950,30
951,31
952,32
953,33
954,34
955,35
956,36
957,37
958,38
959,39
960,40
961,41
962,42
963,43
964,44
965,45
966,46
967,47
968,48
969,49
970,50
971,51
972,52
973,53
974,54
975,55
976,56
977,57
978,58
979,59
980,60
981,61
982,62
983,63
984,64
985,65
986,66
987,67
988,68
989,69
990,70
991,71
992,72
993,73
994,74
995,75
996,76
997,77
998,78
999,79
1000,80
